epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1470.61,0.31557,3.96257,0.20702,0.28978,0.93722,0.99797,1,0.995,0.92697,0.54545,0.6,0.48211,0.14877,0.42798,4.65879,0.18819,0.33162,0.69509,0.001703,0.001703,0.001703
77,1489.96,0.33075,4.08523,0.21068,0.2861,0.94584,0.99814,1,0.995,0.90534,0.59907,0.6,0.48834,0.15661,0.42656,4.3632,0.17848,0.35811,0.69283,0.00169904,0.00169904,0.00169904
78,1509.29,0.3311,4.00084,0.20368,0.28925,0.95135,0.99804,1,0.995,0.89217,0.67677,0.698,0.68517,0.25411,0.47939,4.06995,0.18755,0.37146,0.71324,0.00169508,0.00169508,0.00169508
79,1529.02,0.29867,3.83864,0.21035,0.26935,0.9486,0.99815,1,0.995,0.90132,0.76522,0.76667,0.75772,0.22006,0.47568,3.98355,0.18666,0.37901,0.71314,0.00169112,0.00169112,0.00169112
80,1548.15,0.32904,3.7303,0.20649,0.28326,0.9593,0.99826,1,0.995,0.92316,0.81032,0.8,0.76606,0.24249,0.4072,3.89451,0.18504,0.3353,0.69438,0.00168716,0.00168716,0.00168716
81,1568,0.32196,3.72416,0.19675,0.27838,0.95964,0.99774,1,0.995,0.92973,0.7649,0.76667,0.75516,0.31514,0.39271,3.66615,0.17576,0.3282,0.65444,0.0016832,0.0016832,0.0016832
82,1587.71,0.31864,3.83936,0.20568,0.27804,0.95927,0.99785,1,0.995,0.90742,0.56545,0.56667,0.45079,0.13827,0.49861,4.33121,0.1694,0.38446,0.7236,0.00167924,0.00167924,0.00167924
83,1606.81,0.30301,3.89903,0.20145,0.27356,0.92733,0.99695,1,0.995,0.93413,0.63122,0.63333,0.51582,0.17336,0.41127,4.02114,0.17302,0.3216,0.68421,0.00167528,0.00167528,0.00167528
84,1625.76,0.32938,3.74099,0.21,0.27808,0.95065,0.99819,1,0.995,0.93568,0.76522,0.76667,0.69778,0.22434,0.40164,4.07991,0.16797,0.31318,0.68031,0.00167132,0.00167132,0.00167132
85,1645.06,0.35226,3.83644,0.2029,0.2846,0.97116,0.99811,1,0.995,0.90832,0.46621,0.46667,0.38825,0.11567,0.438,4.45584,0.17242,0.33437,0.69031,0.00166736,0.00166736,0.00166736
86,1664.27,0.33604,3.63049,0.21304,0.27963,0.96038,1,1,0.995,0.90886,0.56667,0.56667,0.50112,0.15277,0.46039,4.26281,0.16958,0.34304,0.72508,0.0016634,0.0016634,0.0016634
87,1683.34,0.33117,3.73373,0.20045,0.28605,0.96329,1,1,0.995,0.91603,0.56667,0.56667,0.48185,0.18147,0.51157,4.10957,0.18967,0.35732,0.74498,0.00165944,0.00165944,0.00165944
88,1702.03,0.32161,3.7452,0.20391,0.27048,0.93492,0.99816,1,0.995,0.9426,0.8318,0.83333,0.78881,0.25666,0.36825,3.7615,0.16928,0.30458,0.6542,0.00165548,0.00165548,0.00165548
89,1720.92,0.30998,3.4937,0.20074,0.2616,0.96201,1,1,0.995,0.91861,0.8,0.8,0.8009,0.27286,0.40692,3.50774,0.16421,0.30718,0.67198,0.00165152,0.00165152,0.00165152
90,1740.22,0.31359,3.36862,0.18767,0.26596,0.96668,0.99781,1,0.995,0.92797,0.73169,0.73333,0.64637,0.23794,0.43856,3.69136,0.16405,0.34785,0.6966,0.00164756,0.00164756,0.00164756
91,1759.13,0.29032,3.26977,0.19845,0.26235,0.92057,0.99801,1,0.995,0.93464,0.83168,0.83333,0.77182,0.26307,0.40303,3.29966,0.17228,0.37049,0.6765,0.0016436,0.0016436,0.0016436
92,1778.46,0.2991,3.15532,0.19522,0.25642,0.92949,0.99813,1,0.995,0.92137,0.79887,0.8,0.7556,0.25657,0.44591,3.35034,0.16757,0.33245,0.69125,0.00163964,0.00163964,0.00163964
93,1797.71,0.31161,3.13267,0.19673,0.26745,0.94264,0.99805,1,0.995,0.91389,0.7319,0.73333,0.71903,0.19971,0.46984,3.68515,0.16877,0.34712,0.73162,0.00163568,0.00163568,0.00163568
